PointNo_,X,Y,Z,grad,angle,turn,d,Distance
0,0,0,9.857,0.00670000000000037,0.383884594870781,13.3591231954095,1,0
0,-0.981320493834716,-0.233043800636031,9.8637,0.00670000000000037,0.383884594870781,13.3591231954095,1,1
0,-1.96264098766943,-0.466087601272062,9.8704,0.00670000000000037,0.383884594870781,13.3591231954095,1,2
0,-2.94396148150415,-0.699131401908094,9.8771,0.00670000000000037,0.383884594870781,13.3591231954095,1,3
0,-3.92528197533887,-0.932175202544125,9.8838,0.00670000000000037,0.383884594870781,13.3591231954095,1,4
0,-4.90660246917358,-1.16521900318016,9.8905,0.00670000000000037,0.383884594870781,13.3591231954095,1,5
0,-5.8879229630083,-1.39826280381619,9.8972,0.00670000000000037,0.383884594870781,13.3591231954095,1,6
0,-6.86924345684302,-1.63130660445222,9.9039,0.00670000000000037,0.383884594870781,13.3591231954095,1,7
0,-7.85056395067773,-1.86435040508825,9.9106,0.00670000000000037,0.383884594870781,13.3591231954095,1,8
0,-8.83188444451245,-2.09739420572428,9.9173,0.00670000000000037,0.383884594870781,13.3591231954095,1,9
0,-9.81320493834716,-2.33043800636031,9.924,0.00670000000000037,0.383884594870781,13.3591231954095,1,10
0,-10.7945254321819,-2.56348180699634,9.9307,0.00670000000000037,0.383884594870781,13.3591231954095,1,11
0,-11.7758459260166,-2.79652560763237,9.9374,0.00670000000000037,0.383884594870781,13.3591231954095,1,12
0,-12.7571664198513,-3.02956940826841,9.9441,0.00670000000000037,0.383884594870781,13.3591231954095,1,13
0,-13.738486913686,-3.26261320890444,9.9508,0.00670000000000037,0.383884594870781,13.3591231954095,1,14
0,-14.7198074075207,-3.49565700954047,9.9575,0.00670000000000037,0.383884594870781,13.3591231954095,1,15
0,-15.7011279013555,-3.7287008101765,9.96420000000001,0.00670000000000037,0.383884594870781,13.3591231954095,1,16
0,-16.6824483951902,-3.96174461081253,9.97090000000001,0.00670000000000037,0.383884594870781,13.3591231954096,1,17
0,-17.6637688890249,-4.19478841144856,9.97760000000001,0.00670000000000037,0.383884594870781,13.3591231954096,1,18
0,-18.6450893828596,-4.42783221208459,9.98430000000001,0.00670000000000037,0.383884594870781,13.3591231954096,1,19
0,-19.6264098766943,-4.66087601272062,9.99100000000001,0.00670000000000037,0.383884594870781,13.3591231954096,1,20
0,-20.607730370529,-4.89391981335666,9.99770000000001,0.00670000000000037,0.383884594870781,13.3591231954096,1,21
0,-21.5890508643637,-5.12696361399269,10.0044,0.00670000000000037,0.383884594870781,13.3591231954096,1,22
0,-22.5703713581985,-5.36000741462872,10.0111,0.00670000000000037,0.383884594870781,13.3591231954096,1,23
0,-23.5516918520332,-5.59305121526475,10.0178,0.00670000000000037,0.383884594870781,13.3591231954096,1,24
0,-24.5330123458679,-5.82609501590078,10.0245,0.00670000000000037,0.383884594870781,13.3591231954096,1,25
0,-25.5143328397026,-6.05913881653681,10.0312,0.00670000000000037,0.383884594870781,13.3591231954096,1,26
0,-26.4956533335373,-6.29218261717285,10.0379,0.00670000000000037,0.383884594870781,13.3591231954096,1,27
0,-27.476973827372,-6.52522641780888,10.0446,0.00670000000000037,0.383884594870781,13.3591231954096,1,28
0,-28.4582943212068,-6.75827021844491,10.0513,0.00670000000000037,0.383884594870781,13.3591231954096,1,29
0,-29.4396148150415,-6.99131401908094,10.058,0.00670000000000037,0.383884594870781,13.3591231954096,1,30
0,-30.4209353088762,-7.22435781971697,10.0647,0.00670000000000037,0.383884594870781,13.3591231954096,1,31
0,-31.4022558027109,-7.457401620353,10.0714,0.00670000000000037,0.383884594870781,13.3591231954096,1,32
0,-32.3835762965456,-7.69044542098904,10.0781,0.00670000000000037,0.383884594870781,13.3591231954096,1,33
0,-33.3648967903803,-7.92348922162507,10.0848,0.00670000000000037,0.383884594870781,13.3591231954095,1,34
0,-34.3462172842151,-8.1565330222611,10.0915,0.00670000000000037,0.383884594870781,13.3591231954095,1,35
0,-35.3275377780498,-8.38957682289713,10.0982,0.00670000000000037,0.383884594870781,13.3591231954095,1,36
0,-36.3088582718845,-8.62262062353316,10.1049,0.00670000000000037,0.383884594870781,13.3591231954095,1,37
0,-37.2901787657192,-8.85566442416919,10.1116,0.00670000000000037,0.383884594870781,13.3591231954095,1,38
0,-38.2714992595539,-9.08870822480522,10.1183,0.00669999999998616,0.383884594869967,13.3591231954089,1,39
1,-39.2528197533887,-9.32175202544125,10.125,0.00200000000000067,0.114591635420713,40.5217310377357,1,40
1,-39.7907002456244,-8.86200575207765,10.127,0.00200000000000067,0.114591635420713,40.5217310377357,1,41
1,-40.3285807378601,-8.40225947871405,10.129,0.00200000000000067,0.114591635420713,40.5217310377357,1,42
1,-40.8664612300959,-7.94251320535045,10.131,0.00200000000000067,0.114591635420713,40.5217310377357,1,43
1,-41.4043417223316,-7.48276693198685,10.133,0.00200000000000067,0.114591635420713,40.5217310377357,1,44
1,-41.9422222145673,-7.02302065862325,10.135,0.00200000000000067,0.114591635420713,40.5217310377357,1,45
1,-42.4801027068031,-6.56327438525965,10.137,0.00200000000000067,0.114591635420713,40.5217310377357,1,46
1,-43.0179831990388,-6.10352811189605,10.139,0.00200000000000067,0.114591635420713,40.5217310377357,1,47
1,-43.5558636912745,-5.64378183853245,10.141,0.00200000000000067,0.114591635420713,40.5217310377357,1,48
1,-44.0937441835103,-5.18403556516885,10.143,0.00199999999999356,0.114591635420306,40.5217310377357,1,49
1,-44.631624675746,-4.72428929180525,10.145,-0.0104444444444436,-0.598433466522499,40.5217310377357,1,50
