PointID,Long,Lat,Z,X,Y,Distance,d,TurnR,Grad,angle
113,-0.00972378,51.53882818,7.351054925,124.5588254,125.8312754,209.2821309,1.714917536,28.48642556,-0.019231961,-1.101774383
114,-0.009719825,51.53884352,7.318073698,124.8325932,127.5376159,210.9970484,1.714917536,28.48642556,-0.018220779,-1.043858208
115,-0.009716,51.538859,7.286545229,125.0974014,129.2602085,212.711966,1.730357919,28.48642556,-0.017359514,-0.994526996
116,-0.009711069,51.53887454,7.256507056,125.4387586,130.9895658,214.4423239,1.730357919,28.48642556,-0.016237322,-0.930248253
117,-0.009704452,51.53888974,7.228410678,125.8969175,132.6805433,216.1726818,1.730357919,28.48642556,-0.015181832,-0.869788086
118,-0.009695683,51.53890432,7.202140675,126.5039956,134.3024177,217.9030397,1.730357919,28.48642556,-0.014349408,-0.822104105
119,-0.0096843,51.538918,7.177550506,127.2921099,135.8244656,219.6333977,1.713671288,28.48642556,-0.013328918,-0.763645513
120,-0.009670159,51.53893046,7.154709122,128.2711932,137.210248,221.3470689,1.713671288,28.48642556,-0.012534411,-0.718131237
121,-0.009653536,51.53894187,7.133229262,129.4220803,138.4800375,223.0607402,1.713671288,28.48642556,-0.011822966,-0.677374506
122,-0.009634971,51.53895235,7.112968585,130.7075129,139.6458857,224.7744115,1.713671288,28.48642556,-0.010041195,-0.575298737
123,-0.009615,51.538962,7.093784748,132.0902324,140.7198439,226.4880828,1.910513385,28.48642556,-0.010621307,-0.608533181
124,-0.009591609,51.53897177,7.073492599,133.7097448,141.80716,228.3985962,1.910513385,28.48642556,-0.010116588,-0.579618027
125,-0.009567117,51.53897992,7.054164722,135.4055199,142.7133878,230.3091096,1.910513385,28.48642556,-0.00981421,-0.562294785
126,-0.0095415,51.5389857,7.035603876,137.1792094,143.3566727,232.219623,1.891221544,28.48642556,-0.00941803,-0.539597445
127,-0.009515063,51.53898872,7.017792293,139.0096523,143.6922321,234.1108445,1.891221544,28.48642556,-0.009223969,-0.5284795
128,-0.009487797,51.53899004,7.000347725,140.8974895,143.8390722,236.0020661,1.891221544,28.48642556,-0.009460686,-0.542041198
129,-0.00946,51.538991,6.983078843,142.8221483,143.9463433,237.8932876,1.825330859,28.48642556,-0.009138044,-0.523556786
130,-0.009433088,51.53899279,6.966398889,144.6855087,144.1454667,239.7186185,1.825330859,28.48642556,-0.009240265,-0.529413105
131,-0.00940708,51.53899634,6.949532349,146.4862376,144.5406356,241.5439493,1.825330859,28.48642556,-0.009685754,-0.554935473
132,-0.0093831,51.5390025,6.932307204,148.1465676,145.2258171,243.3692802,1.778399967,28.48642556,-0.009722889,-0.557062964
133,-0.00936238,51.53901146,6.915016018,149.5811829,146.2232128,245.1476801,1.778399967,28.48642556,-0.01009557,-0.578413878
134,-0.009343422,51.5390224,6.897062058,150.8937293,147.4398453,246.9260801,1.778399967,28.48642556,-0.011953657,-0.684861504
135,-0.009325,51.539034,6.878286235,152.1692303,148.730463,248.7044801,1.570717831,28.48642556,-0.011073772,-0.634454488
